id;balance;description;created_date;created_by;last_modified_date;last_modified_by
1;92916;synthesize cross-platform copy;2023-05-20T22:09:47;Metal Generic invoice;2023-05-20T17:57:16;bandwidth Refined sky
2;35001;XSS;2023-05-20T22:23:23;Oklahoma GB;2023-05-20T18:01:43;strategize Kwacha forecast
3;23754;incremental Cotton;2023-05-20T13:34:59;interface;2023-05-20T23:20:47;grow Sierra Arkansas
4;81873;Avon dynamic convergence;2023-05-20T17:31:50;Car grid-enabled;2023-05-20T16:33:56;Crest proactive
5;98092;Costa;2023-05-20T17:00:14;fault-tolerant;2023-05-20T07:57:02;Games visualize
6;71261;Investment Internal Colon;2023-05-20T21:37:27;Bike Music;2023-05-20T14:05:56;PCI quantifying Networked
7;33811;Fresh Ball e-services;2023-05-20T23:57:19;niches compressing Corporate;2023-05-20T09:58:48;Consultant Iowa feed
8;53802;Garden best-of-breed Corporate;2023-05-20T09:37:31;SMS Unbranded;2023-05-20T23:00:04;Account Agent Frozen
9;28548;asynchronous deliver Comoros;2023-05-20T18:01:27;cyan Avon;2023-05-20T14:46:33;Chicken
10;70187;Integration Franc;2023-05-20T13:16:26;Dynamic Cambridgeshire;2023-05-20T17:22:44;Frozen
