id;status;ic_path;payslip_path;epf_path;loan_amount
1;A;Shirt override matrix;pink;Arkansas;31362
2;P;Lek;Small;Intranet;51323
3;I;Outdoors;back-end;initiative Car;33773
4;A;District;Small Account;program Soft;67245
5;A;system-worthy;Buckinghamshire Tasty;Territory Buckinghamshire utilisation;75869
6;P;Texas program indigo;Account Auto;Paraguay transmitting;71862
7;A;digital Tunisian;Kansas Functionality;override Ohio Concrete;83710
8;I;Branding Cambridgeshire approach;redundant;Pizza models Indiana;74361
9;A;tan navigate;Bedfordshire;Pataca;29005
10;I;Chief Nebraska generating;Loan Mouse Won;intuitive;41622
